half_year,bin,n,x_lo,x_hi,x_mean,y_mean,y_sd,se,ci_lo,ci_hi
2021 H1,0,1950,-12.097059076656958,-2.1564768589693415,-3.065876194833894,0.003482828002133365,0.025543356279854552,0.0005784431138130489,,
2021 H1,1,1950,-2.1564768589693415,-1.697461018180703,-1.8950517197354115,0.0018377672423915963,0.02528274426537345,0.0005725414138366667,,
2021 H1,2,1950,-1.697461018180703,-1.4317220448999683,-1.55638818781385,0.0016736169921785869,0.02406472269473595,0.0005449586568061554,,
2021 H1,3,1950,-1.4317220448999683,-1.2431212999307815,-1.3338622606600476,0.0019323101821710018,0.022685839173017773,0.000513733093918117,,
2021 H1,4,1950,-1.2431212999307815,-1.1018867601805278,-1.1688960475027583,0.0014299760069381735,0.021337318870999027,0.0004831951225570459,,
2021 H1,5,1950,-1.1018867601805278,-0.9776443734156641,-1.0372994378865397,0.0007099273030616154,0.02083761322690671,0.0004718790180642826,,
2021 H1,6,1949,-0.9776443734156641,-0.875002145610406,-0.9251644144924466,0.0008128867188942739,0.021673420811171892,0.0004909322289181348,,
2021 H1,7,1950,-0.875002145610406,-0.783086222475128,-0.8287300399750683,0.0018653550531114314,0.02020306973588784,0.0004575094376233505,,
2021 H1,8,1950,-0.783086222475128,-0.6994536518942047,-0.7404895481888065,0.000808442990009265,0.020378823231792523,0.00046148947056502053,,
2021 H1,9,1950,-0.6994536518942047,-0.6218747394790124,-0.6606904618611141,0.0008983126656544936,0.02060152240725891,0.00046653261380309106,,
2021 H1,10,1950,-0.6218747394790124,-0.5512923522161738,-0.5857681818538694,0.00041316035057298095,0.021805770865174216,0.000493803471249122,,
2021 H1,11,1950,-0.5512923522161738,-0.48354743797456395,-0.5162083807890916,0.0004993213247713651,0.019530809550287177,0.00044228574224084225,,
2021 H1,12,1950,-0.48354743797456395,-0.41701465170746677,-0.44998838392203827,5.299489954239482e-05,0.022519536463717398,0.0005099670791489803,,
2021 H1,13,1949,-0.41701465170746677,-0.3531188435772665,-0.3850274268796874,0.0009796063314543668,0.020229117720737627,0.00045821681488184424,,
2021 H1,14,1950,-0.3531188435772665,-0.2918079339205988,-0.32237807263842755,0.0005816094793543951,0.019087055544683637,0.00043223669285375106,,
2021 H1,15,1950,-0.2918079339205988,-0.23042982934277279,-0.26107654408712283,-0.0003884236381160071,0.021538979485434654,0.00048776183620538485,,
2021 H1,16,1950,-0.23042982934277279,-0.16882727157649308,-0.19966987883019763,0.00023566342110119143,0.021785458998297733,0.0004933434980414251,,
2021 H1,17,1950,-0.16882727157649308,-0.1061629665222296,-0.13711775291311476,0.00013658783422585845,0.018865753479683337,0.00042722518793757874,,
2021 H1,18,1950,-0.1061629665222296,-0.04851425769525608,-0.07731788236987358,0.00031897750387661564,0.02155072847817841,0.0004880278984985466,,
2021 H1,19,1949,-0.04851425769525608,0.011754005642408081,-0.01885136672595794,7.452547606799344e-05,0.020889293844639698,0.00047317069497347777,,
2021 H1,20,1950,0.011754005642408081,0.07004844609171841,0.04082001536375115,0.0004924945581221204,0.019848881499036086,0.0004494886534963224,,
2021 H1,21,1950,0.07004844609171841,0.12943611859011497,0.09882572134420703,-0.0003271322653344293,0.019124781480455846,0.00043309101706708074,,
2021 H1,22,1950,0.12943611859011497,0.18893312887828564,0.15993918817529915,0.0005650756553553661,0.019563641121443796,0.0004430292309211527,,
2021 H1,23,1950,0.18893312887828564,0.2491396543884627,0.21921886534470422,5.7819238344076534e-05,0.020152183545656024,0.00045635709233225855,,
2021 H1,24,1950,0.2491396543884627,0.31431829097924163,0.2807232527912382,0.00045366707974385685,0.019796040570541223,0.00044829204210037016,,
2021 H1,25,1950,0.31431829097924163,0.37994439527759843,0.347216624235814,-0.00025722952672678983,0.01878703234150671,0.0004254425052003964,,
2021 H1,26,1949,0.37994439527759843,0.44745583451695564,0.41311617650557825,-0.000988862869289071,0.017515682164722733,0.00039675383784900536,,
2021 H1,27,1950,0.44745583451695564,0.5175201221694079,0.48145356145304086,-0.00018257921968995458,0.01976336348700159,0.0004475520518756752,,
2021 H1,28,1950,0.5175201221694079,0.5943624811386992,0.5555277581237824,0.00051977068141959,0.02029038250061907,0.00045948668238920737,,
2021 H1,29,1950,0.5943624811386992,0.6748754344261012,0.6351271074510817,-0.000651796950277273,0.020379833067085747,0.0004615123388312362,,
2021 H1,30,1950,0.6748754344261012,0.7661402846836259,0.72067876179169,-0.0008911950534993289,0.019639149645346823,0.0004447391622711038,,
2021 H1,31,1950,0.7661402846836259,0.8623191719434963,0.8128869608432364,-0.0005107404501209879,0.01946456981614366,0.0004407857076464713,,
2021 H1,32,1949,0.8623191719434963,0.9695635196567162,0.914032187619841,-0.0006885499765565583,0.020360063815561737,0.0004611829206369168,,
2021 H1,33,1950,0.9695635196567162,1.094279714006964,1.0312461466062557,0.000242412883854692,0.019859684754484935,0.00044973329905709697,,
2021 H1,34,1950,1.094279714006964,1.2389126260183723,1.1648525226981499,-0.0003562753302420915,0.021136565833473626,0.0004786489614785503,,
2021 H1,35,1950,1.2389126260183723,1.4341264415567898,1.3331063404671921,-0.00023244956141434906,0.02111144444113365,0.00047808007396630447,,
2021 H1,36,1950,1.4341264415567898,1.70186338548745,1.5590527840405348,-0.0005091936295704516,0.020900467682058447,0.0004733023911855223,,
2021 H1,37,1950,1.70186338548745,2.203736123388028,1.9100462548887824,-0.0016928028306273713,0.020999220612794304,0.0004755387046960559,,
2021 H1,38,1950,2.203736123388028,18.097830062489457,3.2512181342658986,-0.0027662193196335834,0.02156367103780379,0.0004883209897590839,,
2021 H2,0,1960,-17.102659995410114,-2.2480928015020667,-3.1963231254769493,0.002227171606493289,0.017179051840132405,0.0003880352275494657,,
2021 H2,1,1959,-2.2480928015020667,-1.743006972514211,-1.965576716193833,0.0013913223734524378,0.016680676697796982,0.00037687423420901505,,
2021 H2,2,1960,-1.743006972514211,-1.4636309316655558,-1.5938047055312488,0.0012419008861030273,0.015737691507375973,0.0003554782162599762,,
2021 H2,3,1959,-1.4636309316655558,-1.2730443911854454,-1.3632563170273175,7.288841506215458e-05,0.015438356912770658,0.00034880592942097615,,
2021 H2,4,1960,-1.2730443911854454,-1.1276796508005023,-1.2002750107906983,0.0009351694320122793,0.01441289303903784,0.0003255540691124693,,
2021 H2,5,1959,-1.1276796508005023,-1.0099542213983217,-1.067215056934709,0.00020746588691741084,0.017096601927461316,0.0003862714250579125,,
2021 H2,6,1959,-1.0099542213983217,-0.9084543576362509,-0.9583582625118009,0.0007365976472863011,0.01463996186975241,0.000330767421398486,,
2021 H2,7,1960,-0.9084543576362509,-0.8191653927474685,-0.863425860909894,0.0007024187857455266,0.01527195055449648,0.0003449582004691451,,
2021 H2,8,1959,-0.8191653927474685,-0.7406434817149109,-0.7799192722315833,0.0011232072059875107,0.015916961181687436,0.00035961925675804987,,
2021 H2,9,1960,-0.7406434817149109,-0.6670715874153023,-0.7030963523871311,0.00040682142057855964,0.01623397447577159,0.0003666881058605441,,
2021 H2,10,1959,-0.6670715874153023,-0.5990807128927302,-0.6318914903008702,0.0006623753232672894,0.015100530607566432,0.00034117326364990953,,
2021 H2,11,1960,-0.5990807128927302,-0.534486718900943,-0.566378886256975,0.0008461198303622836,0.015741082696430535,0.00035555481541275224,,
2021 H2,12,1959,-0.534486718900943,-0.4725346064211199,-0.503517539485867,-4.4053958526785166e-05,0.013238573010562959,0.00029910519553652065,,
2021 H2,13,1959,-0.4725346064211199,-0.4162710820790059,-0.44475049644914005,0.0005039523112163356,0.015583930692031601,0.00035209494506307696,,
2021 H2,14,1960,-0.4162710820790059,-0.3595442256811525,-0.38778401919679883,0.0004060534308750239,0.015258821684981718,0.0003446616495350751,,
2021 H2,15,1959,-0.3595442256811525,-0.304221311617605,-0.3321361578648818,0.0006754572561881322,0.014987478109457426,0.00033861901633595767,,
2021 H2,16,1960,-0.304221311617605,-0.24962958009708838,-0.27646918460462466,0.0006728510539769303,0.015521319378632829,0.00035059086805277963,,
2021 H2,17,1959,-0.24962958009708838,-0.19666321761907607,-0.22331154732580974,0.0007277265040894061,0.015501425266948355,0.0003502308618811012,,
2021 H2,18,1959,-0.19666321761907607,-0.1444576836609986,-0.17005069806844744,-0.00025003812407394405,0.014084369290089252,0.0003182146615922596,,
2021 H2,19,1960,-0.1444576836609986,-0.09333218931160762,-0.11869927166623205,0.000322792041202108,0.014613061169815792,0.0003300754063141606,,
