half_year,observations,bins,correlation,ols_slope,r_squared
2021 H1,76045,39,-0.05148587487772034,-0.0009393534606798753,0.0026507953119243484
2021 H2,84256,43,-0.035323141305013045,-0.00046631244752683013,0.001247724311653925
2022 H1,84768,43,-0.03989322710616636,-0.0007698892246495972,0.0015914695689441993
2022 H2,85416,43,-0.036421797989126696,-0.00036839543951879163,0.0013265473687607175
2023 H1,83776,42,-0.013807676382434231,-0.00013257420443830775,0.00019065192708203385
2023 H2,84744,43,-0.018934197737864374,-0.0001863150428272732,0.0003585038439765511
2024 H1,84192,43,-0.0052466029028746634,-6.087510209349165e-05,2.7526842020453146e-05
2024 H2,85656,43,-0.03778488464306099,-0.00044147495173859974,0.0014276975074894562
2025 H1,84242,43,-0.010207586950747539,-0.00012107328353677035,0.00010419483135707166
2025 H2,85370,43,-0.01456422308977321,-0.00014620543896885587,0.00021211659420868338
2026 H1,83784,42,-0.013727791949664088,-0.0001243764810079044,0.00018845227181326157
2026 H2,24212,13,-0.010480528945676366,-0.00012941642508497726,0.00010984148698116285
