bin,n,x_lo,x_hi,x_mean,y_mean,y_sd,se,ci_lo,ci_hi
0,1997,-35.67744254201848,-5.024429235882278,-7.040307739143094,0.0017772652939029518,0.016269377112267787,0.00036406748483057053,,
1,1997,-5.024429235882278,-4.066761464600456,-4.491819556980342,0.0015892007719438314,0.02459639896875649,0.000550405159745923,,
2,1997,-4.066761464600456,-3.563422458432804,-3.7941085767458604,0.0018444281789783141,0.017482516226733708,0.0003912144679698427,,
3,1997,-3.563422458432804,-3.2575749154947715,-3.4004557879704955,0.0011469223268060485,0.016383201747495007,0.0003666145920967537,,
4,1996,-3.2575749154947715,-3.026974030495129,-3.1403141537796424,0.001504893312681365,0.021217361292280842,0.00047490976898875286,,
5,1997,-3.026974030495129,-2.8479199159583697,-2.9338341319261643,0.0011701794469338857,0.01704713504741455,0.0003814717390501367,,
6,1997,-2.8479199159583697,-2.702351256527556,-2.772760056540291,0.0003580716725361058,0.01699867283643417,0.000380387277417758,,
7,1997,-2.702351256527556,-2.5825476459139023,-2.6408194281831685,0.00019896833812296663,0.019427905534429444,0.0004347473572366985,,
8,1996,-2.5825476459139023,-2.473132159850043,-2.5263980258222545,0.0009012803938540217,0.017861381877084317,0.00039979263322211856,,
9,1997,-2.473132159850043,-2.3790735168797927,-2.4252298333125184,0.0009806113235515971,0.014929788366354306,0.00033409087896135676,,
10,1997,-2.3790735168797927,-2.3019216858957097,-2.339952659436153,0.0008627099235297569,0.015775176985696738,0.00035300853673181376,,
11,1997,-2.3019216858957097,-2.2301467087703744,-2.2656810515576233,0.0005619039922305887,0.015114475098543263,0.000338223700617996,,
12,1996,-2.2301467087703744,-2.1632359661173735,-2.19590408166731,0.00021258086748590733,0.02232647983192204,0.0004997352513937575,,
13,1997,-2.1632359661173735,-2.103339066671761,-2.1327523777154513,0.00046355513148977625,0.014335775389515552,0.0003207983718824388,,
14,1997,-2.103339066671761,-2.050159735603697,-2.0764192009572535,0.0003387388109735932,0.01591560527045076,0.00035615096634523247,,
15,1997,-2.050159735603697,-2.001282302324442,-2.025593078177114,0.0006118127557253137,0.015726619639850257,0.00035192194622190134,,
16,1996,-2.001282302324442,-1.9566883264004493,-1.9788825040280977,0.0011350191752055726,0.015545440609365524,0.00034795474832716714,,
17,1997,-1.9566883264004493,-1.9127949106576003,-1.9345316976407774,0.0006590412231350957,0.016460454799935322,0.0003683433198964322,,
18,1997,-1.9127949106576003,-1.8714166857560794,-1.891837186141643,0.0017204421712483957,0.05504192650756253,0.0012316990137703047,,
19,1997,-1.8714166857560794,-1.8315684670400334,-1.8515390405281233,0.0007732285384204781,0.013938089359862167,0.00031189916501243577,,
20,1996,-1.8315684670400334,-1.7945414055055182,-1.8129478855545964,0.000564838787703741,0.015012416595027417,0.0003360240323428537,,
21,1997,-1.7945414055055182,-1.7607236294064066,-1.7776183457199446,0.0011587358738621909,0.015537107606336555,0.00034768114653360623,,
22,1997,-1.7607236294064066,-1.7288723085478788,-1.744428050023033,0.00045246919092575285,0.014972237752453819,0.00033504078879030764,,
23,1997,-1.7288723085478788,-1.6980498365269203,-1.7133844638802629,0.0010585914508690853,0.014901923918648332,0.00033346734314173047,,
24,1996,-1.6980498365269203,-1.6684555913581032,-1.682800073379738,0.000391923679679055,0.015052831190777452,0.0003369286352323,,
25,1997,-1.6684555913581032,-1.6422043521773546,-1.65525216541618,0.0009585755564758651,0.015438355842270083,0.0003454713319772055,,
26,1997,-1.6422043521773546,-1.614441159625177,-1.628535880595155,0.0003878366037976048,0.014842872990733972,0.00033214593282255596,,
27,1997,-1.614441159625177,-1.5875757903713035,-1.6010623669221768,0.0005234425560560273,0.014163524992608697,0.0003169438439352281,,
28,1996,-1.5875757903713035,-1.563132615163737,-1.575460134091528,0.0007112139391004799,0.01479263123917628,0.0003311045604473382,,
29,1997,-1.563132615163737,-1.5386125960254675,-1.5506934495666858,0.0005569354592747141,0.015496545914245407,0.00034677347851913993,,
30,1997,-1.5386125960254675,-1.5151124689630242,-1.5265635376071538,0.0006794429510696582,0.01683530567692297,0.0003767315338415452,,
31,1997,-1.5151124689630242,-1.493831307852409,-1.504626010251427,0.0005265300269724684,0.012903373389084894,0.00028874484027121064,,
32,1996,-1.493831307852409,-1.4729175035983164,-1.4833193096287607,0.0003246708893769739,0.013260087540597695,0.0002968015213544461,,
33,1997,-1.4729175035983164,-1.451358745694152,-1.4622354141734424,0.000755598011675967,0.014756373011436216,0.00033021028220215915,,
34,1997,-1.451358745694152,-1.4314960857079544,-1.441274092695493,0.00041316189688588153,0.015609372802263058,0.0003492982587278962,,
35,1997,-1.4314960857079544,-1.4124295557314963,-1.4218952246997802,0.0006596322836057973,0.014440431908014886,0.00032314031989914843,,
36,1996,-1.4124295557314963,-1.3939967834475258,-1.4028639157135034,0.0005687925719882071,0.015157975234082894,0.00033928208213971056,,
37,1997,-1.3939967834475258,-1.3757669635210699,-1.3849131190137214,6.330370281071568e-06,0.012808959026877228,0.0002866320857912061,,
38,1997,-1.3757669635210699,-1.3578197072513787,-1.366490034564165,0.0002936391167670135,0.013528717419962224,0.00030273845704610543,,
39,1997,-1.3578197072513787,-1.3406777858470338,-1.349049660094183,6.925516537639374e-06,0.014730120063669246,0.0003296228076727439,,
40,1996,-1.3406777858470338,-1.323376647709195,-1.3319040090792245,0.00025704846270497135,0.013330014552138482,0.0002983667028319841,,
41,1997,-1.323376647709195,-1.3070326091068234,-1.315181652699108,0.0007843828961374684,0.014619700550901563,0.00032715189842943705,,
42,1997,-1.3070326091068234,-1.2914132369821363,-1.2990724063372872,0.00012478765619158922,0.01368695224166231,0.00030627935189115306,,
43,1997,-1.2914132369821363,-1.2761541170858623,-1.2836592005414267,0.0010401859939162662,0.013148534971862342,0.0002942309360327727,,
44,1996,-1.2761541170858623,-1.2612590569523614,-1.2685843888204602,0.0007174377687704713,0.014430758112662112,0.00032300472745921797,,
45,1997,-1.2612590569523614,-1.2464857740925184,-1.2536612435661054,-0.00017213027303380191,0.01428121615248421,0.00031957747423754385,,
46,1997,-1.2464857740925184,-1.2317428079592116,-1.2389659779738547,0.0006541730317670155,0.014931018319849772,0.00033411840220778856,,
47,1997,-1.2317428079592116,-1.2178723578617583,-1.2249809702765964,-4.420897764840041e-05,0.01490611288703656,0.0003335610816527142,,
48,1996,-1.2178723578617583,-1.204127737890793,-1.2108656478869777,0.00036199774101013007,0.014211436631257061,0.00031809563849977997,,
49,1997,-1.204127737890793,-1.1906522935916573,-1.1974039576039976,0.00019940649962264922,0.013606874136663291,0.0003044874065649237,,
50,1997,-1.1906522935916573,-1.1775039325683303,-1.1839693102178606,0.0003451321499325492,0.013533895485792239,0.0003028543290546041,,
51,1997,-1.1775039325683303,-1.1644644015877823,-1.170853907734426,0.0005582323387166911,0.012785353902837658,0.0002861038628556323,,
52,1996,-1.1644644015877823,-1.1513412509595184,-1.157801031886124,0.00020518944773529731,0.014745856689238506,0.00033005760223234177,,
53,1997,-1.1513412509595184,-1.1384614475426553,-1.1448478530802562,0.0007496580221106006,0.014182581554339607,0.0003173702815579481,,
54,1997,-1.1384614475426553,-1.1260271919440186,-1.1322572617630597,-9.020610596280363e-05,0.01403991417207511,0.0003141777466090083,,
55,1997,-1.1260271919440186,-1.114053781707053,-1.1199842070513673,-0.0004083324159653382,0.013479997246161227,0.00030164822285866,,
56,1996,-1.114053781707053,-1.1026036103600205,-1.1083882681031603,-0.00011645242087647532,0.015593970694500763,0.000349041000816489,,
57,1997,-1.1026036103600205,-1.090769204484198,-1.0965737018582902,0.00023356192923114076,0.01324700167436635,0.0002964343716328464,,
58,1997,-1.090769204484198,-1.0792572817128208,-1.0851824065575248,0.00031331087537586085,0.01370349771818622,0.00030664959778205697,,
59,1997,-1.0792572817128208,-1.0680719486038461,-1.0736438027064532,0.00024482150527884914,0.014358001147706986,0.0003212957281012646,,
60,1996,-1.0680719486038461,-1.0567455227085967,-1.0624023561219875,0.00024005146031372116,0.014259078021391154,0.00031916199926308167,,
61,1997,-1.0567455227085967,-1.0460413197383918,-1.0513869723711073,6.613140092881302e-05,0.013843473247079381,0.0003097818958651554,,
62,1997,-1.0460413197383918,-1.0353986184110366,-1.0408102288642387,0.0006680263106938677,0.013664396820076898,0.0003057746186398903,,
63,1997,-1.0353986184110366,-1.0249698083770162,-1.0300891373216945,0.0003561301432955294,0.018293620863295945,0.0004093649369724305,,
64,1996,-1.0249698083770162,-1.0145041559393424,-1.0197042332142316,0.0003307989535400684,0.014930974716970604,0.000334201112755391,,
65,1997,-1.0145041559393424,-1.0044407575994818,-1.0094725659734185,0.000450504252234068,0.013933201131895065,0.0003117897788417803,,
66,1997,-1.0044407575994818,-0.994426063142185,-0.999478185608253,-4.105570820172451e-05,0.013514732915301007,0.0003024255192241177,,
67,1997,-0.994426063142185,-0.9845671091810237,-0.9894802821523454,0.00013210226140856248,0.01343069602427117,0.0003005449862855122,,
68,1996,-0.9845671091810237,-0.9747234181469815,-0.9795727418071289,0.0004743607499185791,0.013179772692169578,0.0002950038281546211,,
69,1997,-0.9747234181469815,-0.9648655453232365,-0.969688270032823,0.00023526636002246354,0.01377113616942735,0.00030816317513976816,,
70,1997,-0.9648655453232365,-0.9555158621966297,-0.960167781094663,0.0007122842352987217,0.01348820095459924,0.0003018318010913545,,
71,1997,-0.9555158621966297,-0.9460008478206929,-0.9508123258342638,0.0008428385720358086,0.012691316697044614,0.00028399954818167014,,
72,1996,-0.9460008478206929,-0.9367424821173139,-0.9413370935642784,0.0001448387112065566,0.013463559788407176,0.0003013558557446504,,
73,1997,-0.9367424821173139,-0.9275534033055374,-0.9321901108968719,-0.00033804270953312115,0.014446835398919293,0.00032328361381947593,,
74,1997,-0.9275534033055374,-0.9185159789746681,-0.9230436556157313,6.889226579549166e-05,0.014518647478168788,0.00032489058640929334,,
75,1997,-0.9185159789746681,-0.9094264929543243,-0.9138751932413942,-4.287025295896322e-05,0.015235115210373294,0.00034092332100177326,,
76,1996,-0.9094264929543243,-0.9003171126292503,-0.9048369562595041,0.00013424235229546268,0.01343675630929836,0.0003007559114869121,,
77,1997,-0.9003171126292503,-0.8915735319564329,-0.8959527912093416,-0.00028983448766990814,0.014240382835909561,0.0003186637279545707,,
78,1997,-0.8915735319564329,-0.8829082568031011,-0.8871749339933678,0.00025448750099829007,0.01425696900331468,0.0003190348844044146,,
79,1997,-0.8829082568031011,-0.8742812383379733,-0.8784952621653257,4.5325678703450616e-05,0.015284641081035664,0.0003420315846458987,,
80,1996,-0.8742812383379733,-0.8657959732619781,-0.8700416003214815,0.0003246947246590561,0.013595174269885546,0.000304301792429869,,
81,1997,-0.8657959732619781,-0.8577590947683956,-0.861872292097093,0.0005560353603922357,0.013002392281737173,0.0002909606324893061,,
82,1997,-0.8577590947683956,-0.8495348852428579,-0.8536137203849511,0.0005361772400113998,0.016446857614786044,0.00036803904930488376,,
83,1997,-0.8495348852428579,-0.8415377765248757,-0.8455208992611596,0.0006625774676423477,0.014056755015202543,0.00031455460205697793,,
84,1996,-0.8415377765248757,-0.8333302015157626,-0.837443245391242,0.0006354936748057668,0.013785002596538424,0.00030855073392246815,,
85,1997,-0.8333302015157626,-0.8252683417361357,-0.8292451626838203,0.00025155622972691566,0.01281522140503701,0.00028677222196544046,,
86,1997,-0.8252683417361357,-0.8173981188881323,-0.8212683547632732,0.0002580807684752497,0.014038668947270927,0.00031414988162933643,,
87,1997,-0.8173981188881323,-0.8098584042108319,-0.8135771970735433,0.00035893902376990457,0.01391339498585666,0.000311346567419325,,
88,1996,-0.8098584042108319,-0.8020574775415231,-0.8058554585220719,0.0006734941081362571,0.01680116427151344,0.0003760617040456117,,
89,1997,-0.8020574775415231,-0.7943914987066183,-0.7982744710215762,0.0002837651613298168,0.015125888918100008,0.0003384791130132991,,
90,1997,-0.7943914987066183,-0.786590037496758,-0.7904875861935847,0.0003059342774350488,0.014903229241100243,0.0003334965529546619,,
91,1997,-0.786590037496758,-0.7789370484476441,-0.7827374469119968,-6.438813345534119e-05,0.014727485900357351,0.00032956386176442935,,
92,1996,-0.7789370484476441,-0.7714862151643213,-0.7752225121454698,0.00046142587749286955,0.013515871497719512,0.00030252675260796424,,
93,1997,-0.7714862151643213,-0.764047648868772,-0.7677120861809091,0.0008446099663743555,0.013126845187404371,0.0002937455735496463,,
94,1997,-0.764047648868772,-0.7565702211467106,-0.7602543888556477,-0.0005758849903086701,0.014493626852910039,0.00032433068813881975,,
95,1997,-0.7565702211467106,-0.7495398556652323,-0.7530475025355524,0.0007900069885138969,0.013764309069906543,0.0003080104019306848,,
96,1996,-0.7495398556652323,-0.7420647692836672,-0.7457356507255117,0.0006562845636818735,0.014708276321389642,0.00032921643807588705,,
97,1997,-0.7420647692836672,-0.734865259251082,-0.7384548290892754,-0.00035573756296917324,0.01300462339171777,0.00029101055908412353,,
98,1997,-0.734865259251082,-0.7279297928871933,-0.7313925606820034,4.8015642472868635e-05,0.013636890745079268,0.0003051591022944983,,
99,1997,-0.7279297928871933,-0.7211401351719813,-0.7245560761199017,3.5279234477216484e-05,0.013634474050044634,0.00030510502277585473,,
100,1996,-0.7211401351719813,-0.7141672351314778,-0.717714977613041,6.375031585003854e-05,0.013688295561001425,0.0003063861331847142,,
101,1997,-0.7141672351314778,-0.707237745278077,-0.7107172331118199,0.00022361287544512057,0.014933471964390198,0.000334173308562859,,
102,1997,-0.707237745278077,-0.7001385334834329,-0.7036472171734436,0.00017700319714991983,0.013764449759071994,0.000308013550198148,,
103,1997,-0.7001385334834329,-0.6932081385228025,-0.6967064653462474,0.00027406908812085756,0.015080926299805834,0.00033747296340838194,,
104,1996,-0.6932081385228025,-0.6865195821337339,-0.6898642499977216,-0.0002741684751589486,0.013981015670604542,0.0003129381090744095,,
105,1997,-0.6865195821337339,-0.6796781320021812,-0.6830979609573745,-1.487629676536611e-05,0.013744853676838517,0.00030757503947201234,,
106,1997,-0.6796781320021812,-0.6730410771626402,-0.6764524399417845,-9.783545448716802e-07,0.01608984544004588,0.00036005002036944067,,
107,1997,-0.6730410771626402,-0.6662498534737605,-0.6696243654876232,-0.0003239239883561112,0.013161523129642182,0.0002945215781331346,,
108,1996,-0.6662498534737605,-0.6594925671675259,-0.6628708063173947,0.00031383183033272487,0.012953356268495468,0.0002899359325769815,,
109,1997,-0.6594925671675259,-0.6527599236623776,-0.6561207247226633,0.0004691673603687448,0.013682728624025428,0.0003061848380176756,,
110,1997,-0.6527599236623776,-0.6461837507242116,-0.6494824275327543,0.00043531352606513617,0.013105944709618393,0.0002932778737522422,,
111,1997,-0.6461837507242116,-0.639688261285298,-0.6429023298339389,0.0007646640865577971,0.015056917802064095,0.00033693571399022167,,
112,1996,-0.639688261285298,-0.6332966349481538,-0.6364786733383048,0.0002907363780397362,0.014282131308367365,0.0003196780026926074,,
113,1997,-0.6332966349481538,-0.6268235551810943,-0.6300882429206602,0.0007497250918274199,0.01555799008773496,0.00034814844361740215,,
114,1997,-0.6268235551810943,-0.6205683416582548,-0.623644256908647,8.755525577947107e-05,0.01380160215015847,0.0003088449266844731,,
115,1997,-0.6205683416582548,-0.6142552151731018,-0.617363808840833,-2.47819543165469e-07,0.012860731765163145,0.0002877906286463184,,
116,1996,-0.6142552151731018,-0.6080808933242106,-0.6111199263058503,0.00021390666008698654,0.015719989252694303,0.0003518616835364351,,
117,1997,-0.6080808933242106,-0.601918317766144,-0.605031072606731,0.00017038618448172083,0.014982498179190762,0.00033527039117333866,,
118,1997,-0.601918317766144,-0.5960475585210653,-0.599008322546305,0.000637527452673909,0.01347459965197901,0.0003015274383612268,,
119,1997,-0.5960475585210653,-0.5898418161922944,-0.5928720007475881,-0.00011963508842994842,0.013854536535854202,0.000310029464268691,,
120,1996,-0.5898418161922944,-0.5837498589349535,-0.5867588338394312,-0.0001087827693635546,0.01390562965335558,0.0003112507382678563,,
121,1997,-0.5837498589349535,-0.5775280710888285,-0.5806280535073165,0.00013234374312731933,0.013982300062038216,0.0003128884886375972,,
122,1997,-0.5775280710888285,-0.5715862804140925,-0.5746143320662329,8.344287063229571e-05,0.014337058288303176,0.00032082707991051384,,
