bin,n,x_lo,x_hi,x_mean,y_mean,y_sd,se,ci_lo,ci_hi
0,49031,-4.2448989318428545,-1.530183781149438,-2.228515373615291,0.000369441906939424,0.028540398440069333,0.00012889161232335322,,
1,49031,-1.530183781149438,-1.0369252702113183,-1.2506450507296802,4.0769648112083094e-05,0.01666859394818045,7.527722339460958e-05,,
2,49031,-1.0369252702113183,-0.777943915595256,-0.8971970717530916,-2.317000240689802e-05,0.014942977847571084,6.748414923954048e-05,,
3,49031,-0.777943915595256,-0.6061400785027484,-0.6874589151266878,5.43156775051512e-05,0.014115317580352626,6.374634345796481e-05,,
4,49030,-0.6061400785027484,-0.4769579482539823,-0.5391515281129572,6.238373056973818e-06,0.012996760659779769,5.869541460669223e-05,,
5,49031,-0.4769579482539823,-0.37169048128626325,-0.4229278238909793,5.599524418160162e-05,0.012577980120373916,5.68035565757904e-05,,
6,49031,-0.37169048128626325,-0.28134203304011035,-0.3256903672900265,8.12290814507528e-05,0.01245550152126084,5.625042960568382e-05,,
7,49031,-0.28134203304011035,-0.19769736553127099,-0.2391296014701797,-9.764502117688005e-05,0.012245835921339059,5.53035564469433e-05,,
8,49030,-0.19769736553127099,-0.11720447508229617,-0.1574619180606426,3.2985577889994663e-05,0.011877654082074756,5.364135334581608e-05,,
9,49031,-0.11720447508229617,-0.03542181565586802,-0.07649588944868115,4.242379124042882e-05,0.012274814006407985,5.543442470074222e-05,,
10,49031,-0.03542181565586802,0.048813228953052006,0.00647045216929291,-3.21749960640389e-06,0.012491977060021892,5.641515719388295e-05,,
11,49031,0.048813228953052006,0.13622385112596708,0.09240056615912978,-6.727223598770853e-05,0.012163711223900347,5.493267218312791e-05,,
12,49030,0.13622385112596708,0.22827369239580542,0.18186857780382937,1.772350028466372e-05,0.012180797161449089,5.5010395155140844e-05,,
13,49031,0.22827369239580542,0.3285954915257393,0.2772780090057536,-4.617274647286997e-05,0.012557263826163215,5.6709999488008696e-05,,
14,49031,0.3285954915257393,0.4442486855361002,0.3846161321291557,-6.1073194201636015e-06,0.012272717856283399,5.542495825374089e-05,,
15,49031,0.4442486855361002,0.5868487410507509,0.5124391303603533,5.7648685314136454e-05,0.01286046946736718,5.807930987245827e-05,,
16,49030,0.5868487410507509,0.7778045202856214,0.676604530761974,7.712229167016638e-05,0.013446640526724533,6.072714281995718e-05,,
17,49031,0.7778045202856214,1.0697750976181912,0.9107196387932358,0.00013900751613311145,0.01426243685650312,6.441075046499031e-05,,
18,49031,1.0697750976181912,1.6483500442360968,1.317488649574864,4.613619936402754e-05,0.01581434258392654,7.141932926256666e-05,,
19,49031,1.6483500442360968,4.245116284535542,2.466693493023757,-0.0008015829716918304,0.020932459907801067,9.453331610194139e-05,,
