symbol,holding_hours,arithmetic_contribution,log_return_contribution,mean_hourly_return,hourly_volatility,positive_hour_rate,worst_hour,best_hour,share_of_rank_1_hours,share_of_arithmetic_contribution
GMTUSDT,351,2.1313454157397027,1.9849763760745587,0.006072209161651574,0.028887279161368136,0.5584045584045584,-0.07699277169986785,0.16079195732457952,0.007289568233266184,0.2631752410900707
LUNAUSDT,779,1.780321536312583,-2.65294405406111,0.0022853934997594133,0.14444527562270315,0.4557124518613607,-0.6569920844327177,2.8342919748014244,0.01617827251770472,0.21983135444720922
OGUSDT,188,0.9578629349649603,0.863117433373607,0.0050950156115157465,0.032805592385164,0.48404255319148937,-0.07299270072992703,0.24951557609181685,0.003904384124940292,0.11827543624746413
ZECUSDT,763,0.8995352894479756,0.7525142107931185,0.0011789453334835852,0.019700451359474205,0.509829619921363,-0.08389846928889744,0.1270564414072386,0.015845984507071503,0.11107322863822912
COCOSUSDT,85,0.7892021939167261,0.7061412207603557,0.009284731693137954,0.04581562219040969,0.4588235294117647,-0.0630585216076257,0.2902129361191641,0.0017652800564889619,0.0974494683588223
TRUMPUSDT,234,0.7288100422410538,0.6682664100268387,0.0031145728300899737,0.022965745703748184,0.4658119658119658,-0.04778605874616393,0.11985898942420681,0.004859712155510789,0.0899923387167567
ALPACAUSDT,25,0.6260206676790058,-0.38206917252119443,0.025040826707160232,0.28237812193177975,0.48,-0.5840740740740742,0.7858414959928763,0.0005192000166144005,0.07730006545495129
NEIROUSDT,299,0.6130672756573773,0.5594773964985824,0.002050392226278854,0.019193406158655734,0.5250836120401338,-0.04485799392455836,0.17634637021612476,0.00620963219870823,0.07570060060845049
SHIBUSDT,706,0.6072592240986229,0.5052450636533858,0.0008601405440490409,0.017061982742946867,0.5141643059490085,-0.08275058275058278,0.10002227667631991,0.01466220846919067,0.0749834313697383
MULTIUSDT,91,0.5873204872789484,0.5367177875154332,0.0064540712887796526,0.0337651491975697,0.5164835164835165,-0.05091846600064465,0.1797752808988764,0.0018898880604764179,0.07252142693310495
HOTUSDT,62,0.5865782891368901,0.5556904072847453,0.009460940147369196,0.030897802685096235,0.6290322580645161,-0.06345444637357911,0.10081142007029653,0.0012876160412037133,0.07242978145249429
ALICEUSDT,142,0.5821046989395018,0.5307054182642097,0.004099328865771139,0.027433773853488407,0.5211267605633803,-0.0449017773620205,0.19667453336193952,0.002949056094369795,0.0718773894422451
ACEUSDT,45,0.550435277576998,0.4839205825589321,0.012231895057266622,0.05609957547239099,0.5111111111111111,-0.09278737791134484,0.26662362814719165,0.0009345600299059209,0.0679668981907051
BROCCOLI714USDT,74,0.5449980329418324,0.5103765122319884,0.007364838282997735,0.030934391921242834,0.44594594594594594,-0.03438747313478674,0.1610784652609747,0.0015368320491786255,0.0672955156183834
币安人生USDT,254,0.539372769587571,0.45975926095675734,0.0021235148408959487,0.025172646208283155,0.5275590551181102,-0.08285163776493265,0.1405228758169934,0.005275072168802309,0.06660091678493289
ONEUSDT,83,0.504258091776011,0.4794543929147621,0.006075398696096518,0.024160996941599372,0.5783132530120482,-0.04518537590113281,0.093689257483478,0.0017237440551598098,0.06226501058661723
OPENUSDT,31,0.4732284737757452,0.44865051413390994,0.015265434637927264,0.03894875599817041,0.5806451612903226,-0.029126213592232997,0.14134593742966461,0.0006438080206018566,0.05843352126637554
