bin,n,x_lo,x_hi,x_mean,y_mean,y_sd,se,ci_lo,ci_hi
0,1997,-4.134182166550217,-3.040894928336212,-3.308400627959011,-0.0001827665741526316,0.017925698242230937,0.0004011317598606647,,
1,1997,-3.040894928336212,-2.7875129619747243,-2.902165606157173,4.790284316987898e-05,0.017709374335433212,0.00039629097830442525,,
2,1997,-2.7875129619747243,-2.6191448236859514,-2.69864576757122,0.00031331327680952275,0.019594042889550554,0.00043846509077978156,,
3,1997,-2.6191448236859514,-2.493593001824787,-2.553773715134471,-0.00019114230036220095,0.016237215463420905,0.0003633477885248737,,
4,1997,-2.493593001824787,-2.3900227325194137,-2.441389246900862,0.000405544510424803,0.016974245807272248,0.0003798406623256437,,
5,1997,-2.3900227325194137,-2.30033409864181,-2.3442342565592953,-0.0006000888519873476,0.016553038308214328,0.0003704151044990837,,
6,1997,-2.30033409864181,-2.226792590012488,-2.2627404845133743,-0.00020367148076589784,0.01741164972604742,0.00038962865503517626,,
7,1997,-2.226792590012488,-2.159587832416076,-2.1930298491224596,6.0207261543311004e-05,0.01663042260524978,0.0003721467692206443,,
8,1997,-2.159587832416076,-2.1015323356288325,-2.1300032439860033,-0.00024493120383351294,0.015790581888981844,0.0003533532594802242,,
9,1996,-2.1015323356288325,-2.0464062019152256,-2.073678239845665,-0.0003582760644214811,0.015372151775561605,0.0003440760115277853,,
10,1997,-2.0464062019152256,-1.999860379686659,-2.022620760512546,-0.0009986270130660571,0.028087674541529106,0.0006285310712580057,,
11,1997,-1.999860379686659,-1.954370982735006,-1.9767241572945218,0.0005604920333817684,0.0173581125013913,0.00038843062744070453,,
12,1997,-1.954370982735006,-1.9126404889988466,-1.9327985933716085,3.8232561940940756e-05,0.017794178038739054,0.00039818867056110025,,
13,1997,-1.9126404889988466,-1.8740598459977542,-1.892986305953423,-0.0006300305861718668,0.01651045060120894,0.0003694620993983253,,
14,1997,-1.8740598459977542,-1.8367137998617806,-1.8549490109990332,0.00014705868918067118,0.016184101393788147,0.00036215923006889365,,
15,1997,-1.8367137998617806,-1.8029921520834973,-1.8197059160989266,0.0004736683175147697,0.018929545055331603,0.00042359531097751514,,
16,1997,-1.8029921520834973,-1.7698456671720637,-1.7865508465371314,-0.00051374398979626,0.021955399828656894,0.000491306282896437,,
17,1997,-1.7698456671720637,-1.739394269528984,-1.7548783286382712,6.0968311226599745e-05,0.017302533784396085,0.0003871869164143432,,
18,1997,-1.739394269528984,-1.7103019885925097,-1.7248825845316473,0.00017707020587767446,0.014596102221095463,0.00032662382753161323,,
19,1996,-1.7103019885925097,-1.6822445280117977,-1.6963460714452372,-0.00018620902623494277,0.01686294259704008,0.0003774444928806702,,
20,1997,-1.6822445280117977,-1.6546463457212286,-1.668496867860073,0.00022981182380934972,0.015641481443434944,0.0003500167688559798,,
21,1997,-1.6546463457212286,-1.628355399111725,-1.6415311158782444,-3.2212582649029924e-05,0.015407341229375312,0.0003447773034331699,,
22,1997,-1.628355399111725,-1.602734590267111,-1.6154342448518384,0.00037440702495946526,0.018081249087554367,0.00040461259410707657,,
23,1997,-1.602734590267111,-1.5783205647963694,-1.5905088646161882,-0.0006084803619570504,0.015916630654349933,0.0003561739118418291,,
24,1997,-1.5783205647963694,-1.555303601703012,-1.5667173145436115,-0.00042914748085439857,0.020625686732062,0.0004615506690654356,,
25,1997,-1.555303601703012,-1.5325980665237007,-1.543986551745938,0.0004318224786744593,0.017770514656654173,0.00039765914395791327,,
26,1997,-1.5325980665237007,-1.5113814087417297,-1.5219795249544936,0.00031008569675406057,0.016201570442900347,0.0003625501431769231,,
27,1997,-1.5113814087417297,-1.4907241605114547,-1.501037339733358,-0.00015706502186770186,0.016068677646417635,0.0003595763387200162,,
28,1996,-1.4907241605114547,-1.4705378714346458,-1.480566000548648,-0.00012108768832260506,0.02427817368287138,0.0005434201593859842,,
29,1997,-1.4705378714346458,-1.451054398718713,-1.4608045514086658,-0.00012875018813208116,0.016371458663895857,0.00036635181160549115,,
30,1997,-1.451054398718713,-1.4320877527168288,-1.441723745266108,-0.0008131744536090993,0.016941385671407155,0.0003791053356482275,,
31,1997,-1.4320877527168288,-1.4139987100357114,-1.4229839425687394,0.00023489982507433533,0.01478561278386876,0.00033086459430846024,,
32,1997,-1.4139987100357114,-1.39618207076216,-1.4051464648787364,-0.00023042990798262522,0.014333037282538551,0.0003207370999779624,,
33,1997,-1.39618207076216,-1.3786983861818474,-1.3873992547877625,-0.00012168681814917738,0.0171284226126577,0.00038329074903569783,,
34,1997,-1.3786983861818474,-1.3619034401156507,-1.370355847363927,-0.000461967673856605,0.014879717664271225,0.00033297042336890865,,
35,1997,-1.3619034401156507,-1.345970435820987,-1.3538730841407862,-8.998485194670592e-05,0.014604380215505783,0.00032680906809636325,,
36,1997,-1.345970435820987,-1.3299424750110842,-1.3379067944959926,-0.0005291577637770646,0.015131508233010604,0.0003386048590594971,,
37,1997,-1.3299424750110842,-1.3145681584195876,-1.3221327711298765,-0.00033298682231751634,0.014212420236996781,0.00031803799575933964,,
38,1996,-1.3145681584195876,-1.2991770842866395,-1.306813475944728,-0.0003165516568870213,0.015722041288166164,0.0003519076143983586,,
39,1997,-1.2991770842866395,-1.2846011950901308,-1.2919120111046851,-8.595704364532613e-05,0.014890407748031066,0.0003332096403887255,,
40,1997,-1.2846011950901308,-1.2704425671400679,-1.2775895787981373,9.456557869234136e-06,0.01566888948019303,0.00035063009135368844,,
41,1997,-1.2704425671400679,-1.2566336261974576,-1.263497873913669,-0.0005220467762464937,0.013894278525412727,0.0003109187894150007,,
42,1997,-1.2566336261974576,-1.2427942289755904,-1.2496874626946843,0.0004905314543110317,0.015758228446804995,0.00035262927132519796,,
43,1997,-1.2427942289755904,-1.2294981858911014,-1.2362661146044618,0.0003599159669277884,0.01602968680505223,0.00035870382236924414,,
44,1997,-1.2294981858911014,-1.2160106403483635,-1.2225705338950887,0.0003767097572996551,0.017616702500945776,0.00039421721718476717,,
45,1997,-1.2160106403483635,-1.2028847706063932,-1.2095211254265388,0.0006102991424507642,0.016873883788150086,0.00037759481433636996,,
46,1997,-1.2028847706063932,-1.1904642173214928,-1.1967162927827764,-0.00022821204749544192,0.014283668248676058,0.0003196323459444917,,
47,1997,-1.1904642173214928,-1.178173723337633,-1.184314742477654,-0.0004262583036281345,0.01499088387570233,0.00033545804183853943,,
48,1996,-1.178173723337633,-1.1660057193590303,-1.1720386596120083,0.0003543124002188959,0.022979584683075024,0.0005143537456406995,,
49,1997,-1.1660057193590303,-1.1543371625373966,-1.1600555185383727,-5.702530450566437e-05,0.014907618257285853,0.00033359476802906514,,
50,1997,-1.1543371625373966,-1.1428716874078713,-1.148563904741581,0.00010039320393189295,0.015012667903409703,0.0003359455132470743,,
51,1997,-1.1428716874078713,-1.1310723174447004,-1.1370339650481316,0.0004628846153527052,0.015789820294560185,0.00035333621692452944,,
52,1997,-1.1310723174447004,-1.1196041214575512,-1.1254243149080947,-3.81017305108135e-05,0.013853058433316794,0.00030999638807472225,,
53,1997,-1.1196041214575512,-1.108621493078668,-1.1140729937487843,-1.4226191604297394e-05,0.01591933074649954,0.00035623433307067735,,
54,1997,-1.108621493078668,-1.0980332295635937,-1.1032692785242306,-5.929487582901217e-05,0.01407152534641765,0.0003148851246884525,,
55,1997,-1.0980332295635937,-1.0869913499136976,-1.092344335025287,-0.001589757775469446,0.019649566470660792,0.0004397075680045763,,
56,1997,-1.0869913499136976,-1.0761986719659833,-1.0816703671881835,-5.963962133139286e-05,0.017231356205786877,0.0003855941423430455,,
57,1996,-1.0761986719659833,-1.06541452514196,-1.0707860913316063,-0.00011381860047453544,0.014172929211080714,0.0003172337240624293,,
58,1997,-1.06541452514196,-1.0548531304099684,-1.060211295578181,0.00019445841163123528,0.014010491453979012,0.0003135193406417603,,
59,1997,-1.0548531304099684,-1.0449306715771673,-1.0498972758004232,0.00036875908111374856,0.016278007312666376,0.0003642606068739664,,
